epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1860.3,1.51132,1.77771,1.61865,0.60813,0.48064,0.51578,0.28533,1.60682,1.58542,1.67069,0.0033326,0.0033326,0.0033326
2,3681.03,1.50618,1.68093,1.62149,0.61715,0.49483,0.52687,0.28441,1.62635,1.59955,1.68769,0.00659994,0.00659994,0.00659994
3,5487.04,1.55279,1.76263,1.67064,0.61072,0.486,0.51702,0.2859,1.59529,1.60957,1.69956,0.00980128,0.00980128,0.00980128
4,1847.25,1.54218,1.74668,1.6684,0.63353,0.51073,0.547,0.30878,1.54796,1.5339,1.65271,0.009703,0.009703,0.009703
5,3689.07,1.49026,1.67194,1.63363,0.64943,0.52026,0.5662,0.32865,1.50496,1.47887,1.61527,0.009604,0.009604,0.009604
6,1821.33,1.45381,1.6049,1.60252,0.65949,0.52847,0.57876,0.34069,1.48014,1.44187,1.59236,0.009505,0.009505,0.009505
7,1786.4,1.41516,1.54946,1.57424,0.66394,0.52932,0.58532,0.34795,1.46627,1.4201,1.58283,0.009406,0.009406,0.009406
8,3567.32,1.42545,1.56543,1.58238,0.66322,0.5343,0.59148,0.35362,1.45004,1.41005,1.56907,0.009307,0.009307,0.009307
9,1855.2,1.3831,1.4972,1.55062,0.66345,0.53726,0.59541,0.35718,1.45034,1.38849,1.56738,0.009208,0.009208,0.009208
10,3729.72,1.39702,1.52022,1.5625,0.66555,0.53752,0.59852,0.36009,1.43803,1.38475,1.55962,0.009109,0.009109,0.009109
11,2005.37,1.35511,1.45415,1.52857,0.66618,0.54097,0.60113,0.36174,1.43733,1.37124,1.5596,0.00901,0.00901,0.00901
12,4047.41,1.38497,1.49995,1.5529,0.67202,0.53959,0.60297,0.36316,1.43341,1.3686,1.55609,0.008911,0.008911,0.008911
13,6112.78,1.39726,1.51403,1.5627,0.67231,0.54122,0.60491,0.36545,1.42646,1.3634,1.55089,0.008812,0.008812,0.008812
14,8129.21,1.38767,1.50319,1.55626,0.67416,0.54028,0.60577,0.36735,1.42017,1.35818,1.54713,0.008713,0.008713,0.008713
15,10129,1.38128,1.49407,1.54525,0.67262,0.54189,0.60668,0.36872,1.41459,1.35554,1.54271,0.008614,0.008614,0.008614
